Store Name,Store Number,Phone Number,Address,Url,Longitude,Latitude,City,State
Trader Joe's Birmingham,737,205-969-7801,"  205 Summit Blvd, Suite 100 Birmingham, AL 35243 ",https://locations.traderjoes.com/al/birmingham/737/,-86.7292915,33.4465106,birmingham,al
Trader Joe's Huntsville,785,256-890-7156,"  1100 Mid City Dr NW Huntsville, AL 35806 ",https://locations.traderjoes.com/al/huntsville/785/,-86.665572808088,34.7401398055043,huntsville,al
Trader Joe's Little Rock,756,501-954-7659,"  11500 Financial Centre Pky Little Rock, AR 72211 ",https://locations.traderjoes.com/ar/little-rock/756/,-92.4018539,34.7482874,little-rock,ar
Trader Joe's Chandler,287,,"  3961 S Arizona Ave Chandler, AZ 85248 ",https://locations.traderjoes.com/az/chandler/287/,-111.8411924,33.2587485,chandler,az
Trader Joe's Gilbert,285,480-857-9878,"  1779 E. Williams Field Rd. Gilbert, AZ 85295 ",https://locations.traderjoes.com/az/gilbert/285/,-111.7516358,33.3060482,gilbert,az
Trader Joe's Glendale,85,623-776-7414,"  7720 West Bell Rd Glendale, AZ 85308 ",https://locations.traderjoes.com/az/glendale/85/,-112.2265726,33.6393288,glendale,az
Trader Joe's Mesa,89,480-632-0951,"  2050 E Baseline Rd Mesa, AZ 85204 ",https://locations.traderjoes.com/az/mesa/89/,-111.7870802,33.3809684,mesa,az
Trader Joe's Oro Valley,96,520-797-4207,"  7912 N Oracle Oro Valley, AZ 85704 ",https://locations.traderjoes.com/az/oro-valley/96/,-110.9731792,32.3505126,oro-valley,az
Trader Joe's Ahwatukee,177,480-759-2295,"  4025 E Chandler Blvd Phoenix, AZ 85048 ",https://locations.traderjoes.com/az/phoenix/177/,-111.9948671,33.3031252,phoenix,az
Trader Joe's Paradise Valley,282,602-485-7788,"  4726 East Shea Blvd Phoenix, AZ 85028 ",https://locations.traderjoes.com/az/phoenix/282/,-111.9790307,33.5833102,phoenix,az
Trader Joe's Phoenix - Town & Country,90,602-912-9022,"  4821 N 20th St Phoenix, AZ 85016 ",https://locations.traderjoes.com/az/phoenix/90/,-112.0378101,33.5071197,phoenix,az
Trader Joe's Prescott,283,928-443-9075,"  252 N Lee Blvd Prescott, AZ 86303 ",https://locations.traderjoes.com/az/prescott/283/,-112.405347,34.548656,prescott,az
Trader Joe's Queen Creek,286,480-877-7213,"  21186 S. Ellsworth Loop Rd Queen Creek, AZ 85142 ",https://locations.traderjoes.com/az/queen-creek/286/,-111.640263,33.256054,queen-creek,az
Trader Joe's N Scottsdale,87,480-367-8920,"  7555 E Frank Lloyd Wright Scottsdale, AZ 85260 ",https://locations.traderjoes.com/az/scottsdale/87/,-111.91713,33.6358602,scottsdale,az
Trader Joe's Scottsdale,94,480-948-9886,"  6202 N Scottsdale Rd Scottsdale, AZ 85253 ",https://locations.traderjoes.com/az/scottsdale/94/,-111.9275797,33.5294368,scottsdale,az
Trader Joe's Surprise,92,623-546-1640,"  14095 W Grand Ave Surprise, AZ 85374 ",https://locations.traderjoes.com/az/surprise/92/,-112.3673991,33.6513787,surprise,az
Trader Joe's ASU,91,480-303-9974,"  940 E. University Drive Tempe, AZ 85281 ",https://locations.traderjoes.com/az/tempe/91/,-111.9250249,33.4223923,tempe,az
Trader Joe's Tempe,93,480-838-4142,"  6460 S McClintock Dr Tempe, AZ 85283 ",https://locations.traderjoes.com/az/tempe/93/,-111.9122475,33.3618135,tempe,az
Trader Joe's Tucson,95,520-733-1313,"  1101 N Wilmot Rd Tucson, AZ 85712 ",https://locations.traderjoes.com/az/tucson/95/,-110.8589241,32.2371687,tucson,az
Trader Joe's Tucson - Campbell & Limberlost,191,520-325-0069,"  4209 N Campbell Ave Tucson, AZ 85719 ",https://locations.traderjoes.com/az/tucson/191/,-110.9447958,32.2835033,tucson,az
Trader Joe's Tucson - Crossroads,88,520-323-4500,"  4766 E Grant Rd Tucson, AZ 85712 ",https://locations.traderjoes.com/az/tucson/88/,-110.8909436,32.2497812,tucson,az
Trader Joe's Agoura Hills,247,818-865-8217,"  28941 Canwood St Agoura Hills, CA 91301 ",https://locations.traderjoes.com/ca/agoura-hills/247/,-118.7566493,34.1464425,agoura-hills,ca
Trader Joe's Alameda,109,510-769-5450,"  2217 South Shore Center Alameda, CA 94501 ",https://locations.traderjoes.com/ca/alameda/109/,-122.2514556,37.7577242,alameda,ca
Trader Joe's Aliso Viejo,195,949-643-5531,"  26541 Aliso Creek Rd Aliso Viejo, CA 92656 ",https://locations.traderjoes.com/ca/aliso-viejo/195/,-117.7247835,33.5774874,aliso-viejo,ca
Trader Joe's Arroyo Grande,117,805-474-6114,"  955 Rancho Pkwy Arroyo Grande, CA 93420 ",https://locations.traderjoes.com/ca/arroyo-grande/117/,-120.5940538,35.125703,arroyo-grande,ca
Trader Joe's Bakersfield,14,661-837-8863,"  8200 Stockdale Hwy Bakersfield, CA 93311 ",https://locations.traderjoes.com/ca/bakersfield/14/,-119.0934994,35.3556172,bakersfield,ca
Trader Joe's Berkeley,186,510-204-9074,"  1885 University Ave Berkeley, CA 94703 ",https://locations.traderjoes.com/ca/berkeley/186/,-122.273313,37.871926,berkeley,ca
Trader Joe's Brea,11,714-257-1180,"  2500 E Imperial Hwy Brea, CA 92821 ",https://locations.traderjoes.com/ca/brea/11/,-117.8700159,33.9105696,brea,ca
Trader Joe's Brentwood,201,925-516-3044,"  5451 Lone Tree Way Brentwood, CA 94513 ",https://locations.traderjoes.com/ca/brentwood/201/,-121.7501075,37.9611463,brentwood,ca
Trader Joe's Burbank,124,818-848-4299,"  214 E Alameda Ave Burbank, CA 91502 ",https://locations.traderjoes.com/ca/burbank/124/,-118.2988641,34.1749591,burbank,ca
Trader Joe's Calabasas,254,818-591-6758,"  23741 Calabasas Rd. Calabasas, CA 91302 ",https://locations.traderjoes.com/ca/calabasas/254/,-118.6449836,34.1556665,calabasas,ca
Trader Joe's Camarillo,114,805-388-1925,"  363 Carmen Dr Camarillo, CA 93010 ",https://locations.traderjoes.com/ca/camarillo/114/,-119.0532205,34.2198547,camarillo,ca
Trader Joe's Campbell,73,408-369-7823,"  1875 Bascom Ave Campbell, CA 95008 ",https://locations.traderjoes.com/ca/campbell/73/,-121.9332823,37.2879599,campbell,ca
Trader Joe's Capitola,64,831-464-0115,"  3555 Clares St #D Capitola, CA 95010 ",https://locations.traderjoes.com/ca/capitola/64/,-121.9701506,36.9785429,capitola,ca
Trader Joe's Carlsbad,220,760-603-8473,"  2629 Gateway Rd Carlsbad, CA 92009 ",https://locations.traderjoes.com/ca/carlsbad/220/,-117.2530686,33.1265912,carlsbad,ca
Trader Joe's Castro Valley,84,510-538-2738,"  22224 Redwood Road Castro Valley, CA 94546 ",https://locations.traderjoes.com/ca/castro-valley/84/,-122.073003,37.6853639,castro-valley,ca
Trader Joe's Cathedral City,118,760-202-0090,"  67720 E Palm Canyon Dr Cathedral City, CA 92234 ",https://locations.traderjoes.com/ca/cathedral-city/118/,-116.4830524,33.7892005,cathedral-city,ca
Trader Joe's Cerritos,104,562-402-5148,"  12861 Towne Center Dr Cerritos, CA 90703 ",https://locations.traderjoes.com/ca/cerritos/104/,-118.0581293,33.8692417,cerritos,ca
Trader Joe's Chatsworth,184,818-341-3010,"  10330 Mason Ave Chatsworth, CA 91311 ",https://locations.traderjoes.com/ca/chatsworth/184/,-118.5787951,34.2582554,chatsworth,ca
Trader Joe's Chico,199,530-343-9920,"  801 East Ave Chico, CA 95926 ",https://locations.traderjoes.com/ca/chico/199/,-121.8465145,39.759334,chico,ca
Trader Joe's Chino Hills,216,909-627-1404,"  13911 Peyton Drive Chino Hills, CA 91709 ",https://locations.traderjoes.com/ca/chino-hills/216/,-117.7321143,34.0005411,chino-hills,ca
Trader Joe's Chula Vista,120,619-656-5370,"  878 Eastlake Pkwy Chula Vista, CA 91914 ",https://locations.traderjoes.com/ca/chula-vista/120/,-116.9703882,32.6513234,chula-vista,ca
Trader Joe's Claremont,214,909-625-8784,"  475 W Foothill Blvd Claremont, CA 91711 ",https://locations.traderjoes.com/ca/claremont/214/,-117.7220344,34.1073921,claremont,ca
Trader Joe's Clovis,180,559-325-3120,"  1077 N Willow Ave Clovis, CA 93611 ",https://locations.traderjoes.com/ca/clovis/180/,-119.728035,36.8493342,clovis,ca
Trader Joe's Concord,60,925-689-2990,"  1150 Concord Ave Concord, CA 94520 ",https://locations.traderjoes.com/ca/concord/60/,-122.0564004,37.9792245,concord,ca
Trader Joe's Concord,83,925-521-1134,"  785 Oak Grove Rd Concord, CA 94518 ",https://locations.traderjoes.com/ca/concord/83/,-122.024742,37.9368265,concord,ca
Trader Joe's Corona,213,951-603-0299,"  2790 Cabot Dr Corona, CA 92883 ",https://locations.traderjoes.com/ca/corona/213/,-117.5065624,33.8114911,corona,ca
Trader Joe's Costa Mesa,35,949-642-5134,"  640 W 17th St Costa Mesa, CA 92627 ",https://locations.traderjoes.com/ca/costa-mesa/35/,-117.9245798,33.6367934,costa-mesa,ca
Trader Joe's Culver City,251,310-313-0441,"  6150 Slauson Ave Culver City, CA 90230 ",https://locations.traderjoes.com/ca/culver-city/251/,-118.3928504,33.98801,culver-city,ca
Trader Joe's Culver City,36,310-202-1108,"  9290 Culver Blvd Culver City, CA 90232 ",https://locations.traderjoes.com/ca/culver-city/36/,-118.3929931,34.0252255,culver-city,ca
Trader Joe's Cypress,242,714-220-4930,"  5245 Katella Ave. Cypress, CA 90720 ",https://locations.traderjoes.com/ca/cypress/242/,-118.041489,33.8032103,cypress,ca
Trader Joe's Daly City,74,650-755-3825,"  417 Westlake Center Daly City, CA 94015 ",https://locations.traderjoes.com/ca/daly-city/74/,-122.482237,37.7000041,daly-city,ca
Trader Joe's Danville,65,925-838-5757,"  85 Railroad Ave Danville, CA 94526 ",https://locations.traderjoes.com/ca/danville/65/,-122.0032311,37.8231031,danville,ca
Trader Joe's Davis,182,530-757-2693,"  885 Russell Blvd Davis, CA 95616 ",https://locations.traderjoes.com/ca/davis/182/,-121.7614861,38.5467319,davis,ca
